supermercado,producto_nombre,nombre,precio_descuento,precio_normal,precio_por_unidad,unidad,descuentos,url,fecha_extraccion,id_link_producto,error_type,fecha,titulo
Delimart,,Desodorante de Ambiente Aerosol Glade Potpourri 360 Ml,3728.87,3728.87,0,,Ninguno,https://www.delimart.com.ar/desodorante_de_ambiente_aerosol_glade_potpourri__360_ml,,4383,,2026-06-10,
Delimart,,Aerosol Desinfectante Expert Ayudin Frescura Matinal 277 Gr,4054.79,4054.79,0,,Ninguno,https://www.delimart.com.ar/aerosol_desinfectante_expert_ayudin_frescura_matinal_277_gr,,4384,,2026-06-10,
Delimart,,Lysoform En Aerosol Aire De Montaña x 360 cc,4729.94,4729.94,0,,Ninguno,https://www.delimart.com.ar/lysoform_en_aerosol_aire_de_montana_x_360_cc,,4385,,2026-06-10,
Delimart,,Rollo De Cocina Textura Mas Fuerte 3x40 Paños Felpita,2575.49,2575.49,0,,Ninguno,https://www.delimart.com.ar/rollo_de_cocina_textura_mas_fuerte_3x40_panos_felpita,,4386,,2026-06-10,
Delimart,,Rollo De Cocina Campanita Classic 3x50,1984.50,1984.50,0,,Ninguno,https://www.delimart.com.ar/rollo_de_cocina_campanita_classic_3x50,,4387,,2026-06-10,
Delimart,,Rollos de cocina Vual grofado 120 paños,1773.02,2085.90,0,,Ninguno,https://www.delimart.com.ar/rollos_de_cocina_vual_grofado_120_panos,,4389,,2026-06-10,
Delimart,,Rollo De Cocina Elegante Premium 3 rollos x 100 Paños,4886.94,4886.94,0,,Ninguno,https://www.delimart.com.ar/rollo_de_cocina_elegante_premium_3_rollos_x_100_panos,,4388,,2026-06-10,
Delimart,,"Rollo De Cocina Elegante 3 rollos x 50 Paños 21 Cm x 18,7 Cm c/u",2996.39,2996.39,0,,Ninguno,https://www.delimart.com.ar/rollo_de_cocina_elegante_3_rollos_x_50_panos_21_cm_x_187_cm_cu,,4390,,2026-06-10,
Delimart,,Rollo De Cocina Doble Hoja Elegante Premium 3 rollos x 120 Paños,5122.04,5122.04,0,,Ninguno,https://www.delimart.com.ar/rollo_de_cocina_doble_hoja_elegante_premium_3_rollos_x_120_panos,,4391,,2026-06-10,
Delimart,,Rollo De Cocina Doble Hoja Elegante Gigante 200 Paños,3626.62,3626.62,0,,Ninguno,https://www.delimart.com.ar/rollo_de_cocina_doble_hoja_elegante_gigante_200_panos,,4392,,2026-06-10,
Delimart,,Alcohol Etilico Frau 500 Cm,2501.22,2501.22,0,,Ninguno,https://www.delimart.com.ar/alcohol_etilico_frau_500_cm,,4393,,2026-06-10,
Delimart,,Alcohol Etilico al 96% Ibatin x 1 lt,3259.48,3259.48,0,,Ninguno,https://www.delimart.com.ar/alcohol_etilico_al_96_ibatin_x_1_lt,,4395,,2026-06-10,
Delimart,,Alcohol Etilico Frau 1 Lt,3206.66,3206.66,0,,Ninguno,https://www.delimart.com.ar/alcohol_etilico_frau_1_lt,,4394,,2026-06-10,
Delimart,,Alcohol Etilico al 70% Ibatin x 1 lt,2607.59,2607.59,0,,Ninguno,https://www.delimart.com.ar/alcohol_etilico_al_70_ibatin_x_1_lt,,4396,,2026-06-10,
Delimart,,"Alimento para Perros Mordida Pequeña Keiko Fraccionado X1,5kg Sabor carne y verduras",2854.75,2854.75,0,,Ninguno,https://www.delimart.com.ar/alimento_para_perros_mordida_pequena_keiko_fraccionado_x15kg_sabor_carne_y_verduras,,4397,,2026-06-10,
Delimart,,Alimento Para Perros Adultos Mordida Pequeña Mix Carnes y Vedura Keiko 3Kg,7644.83,7644.83,0,,Ninguno,https://www.delimart.com.ar/alimento_para_perros_adultos_mordida_pequena_mix_carnes_y_vedura_keiko_3kg,,4399,,2026-06-10,
Delimart,,Alimento Para Perros Mix Carnes y Verduras Adultos Keiko 3 Kg,7644.83,7644.83,0,,Ninguno,https://www.delimart.com.ar/alimento_para_perros_mix_carnes_y_verduras_adultos_keiko_3_kg,,4398,,2026-06-10,
Delimart,,Alimento Para Perros Adultos Keiko Max 3 Kg,8917.44,8917.44,0,,Ninguno,https://www.delimart.com.ar/alimento_para_perros_adultos_keiko_max_3_kg,,4400,,2026-06-10,
Delimart,,Alimento Para Perros Cachorros Keiko Max 8 Kg,23852.82,23852.82,0,,Ninguno,https://www.delimart.com.ar/alimento_para_perros_cachorros_keiko_max_8_kg,,4401,,2026-06-10,
